id,cast-1,cast-2,cast-3,cast-4,cinematographer-1,cinematographer-2,cinematographer-3,cinematographer-4,costume department-1,costume department-2,costume department-3,costume department-4,director-1,director-2,director-3,director-4,editor-1,editor-2,editor-3,editor-4,genres-1,genres-2,genres-3,genres-4,language-1,language-2,language-3,language-4,rating,producer-1,producer-2,producer-3,producer-4,writer-1,writer-2,writer-3,writer-4,distributor-1,distributor-2,distributor-3,distributor-4
0111161,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Roger Deakins,null,null,null,Cookie Beard,Carol Buckler,Kris Kearney,Taneia Lednicky,Frank Darabont,null,null,null,Richard Francis-Bruce,null,null,null,Crime,Drama,null,null,English,null,null,null,9.3,Liz Glotzer,David V. Lester,Niki Marvin,null,Stephen King,Frank Darabont,null,null,PolyGram Film International,Columbia Pictures,ARP Sélection,Columbia TriStar Films AB
0068646,Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Gordon Willis,null,null,null,George Newman,Marilyn Putnam,Joan Joseff,null,Francis Ford Coppola,null,null,null,William Reynolds,Peter Zinner,null,null,Crime,Drama,null,null,English,Italian,Latin,null,9.2,Gray Frederickson,Albert S. Ruddy,Robert Evans,null,Mario Puzo,Francis Ford Coppola,Mario Puzo,null,Paramount Pictures,Cinéma International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC)
1795369,Benedict Cumberbatch,Jonny Lee Miller,Ella Smith,John Killoran,null,null,null,null,null,null,null,null,Danny Boyle,null,null,null,null,null,null,null,null,null,null,null,English,null,null,null,9.1,null,null,null,null,Nick Dear,Mary Shelley,null,null,National Theatre Live,Culture-Ville,null,null
0071562,Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,Gordon Willis,null,null,null,Sandy Berke Jordan,Nancy McArdle,George Newman,Marie Osborne,Francis Ford Coppola,null,null,null,Barry Malkin,Richard Marks,Peter Zinner,null,Crime,Drama,null,null,English,Italian,Spanish,Latin,9.0,Francis Ford Coppola,Gray Frederickson,Fred Roos,Mona Skager,Francis Ford Coppola,Mario Puzo,Mario Puzo,null,Paramount Pictures,Cinéma International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC)
0468569,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Wally Pfister,null,null,null,Jennifer Alford,Giorgio Armani,Rob Bliss,Pierre Bohanna,Christopher Nolan,null,null,null,Lee Smith,null,null,null,Action,Crime,Drama,null,English,Mandarin,null,null,9.0,Kevin De La Noy,Jordan Goldberg,Philip Lee,Benjamin Melniker,Jonathan Nolan,Christopher Nolan,Christopher Nolan,David S. Goyer,Warner Bros.,20th Century Fox,Fox-Warner,InterComFilm
id,cast-1,cast-2,cast-3,cast-4,cinematographer-1,cinematographer-2,cinematographer-3,cinematographer-4,costume department-1,costume department-2,costume department-3,costume department-4,director-1,director-2,director-3,director-4,editor-1,editor-2,editor-3,editor-4,genres-1,genres-2,genres-3,genres-4,language-1,language-2,language-3,language-4,rating,producer-1,producer-2,producer-3,producer-4,writer-1,writer-2,writer-3,writer-4,distributor-1,distributor-2,distributor-3,distributor-4
0111161,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Roger Deakins,null,null,null,Cookie Beard,Carol Buckler,Kris Kearney,Taneia Lednicky,Frank Darabont,null,null,null,Richard Francis-Bruce,null,null,null,Crime,Drama,null,null,English,null,null,null,9.3,Liz Glotzer,David V. Lester,Niki Marvin,null,Stephen King,Frank Darabont,null,null,PolyGram Film International,Columbia Pictures,ARP Sélection,Columbia TriStar Films AB
0068646,Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Gordon Willis,null,null,null,George Newman,Marilyn Putnam,Joan Joseff,null,Francis Ford Coppola,null,null,null,William Reynolds,Peter Zinner,null,null,Crime,Drama,null,null,English,Italian,Latin,null,9.2,Gray Frederickson,Albert S. Ruddy,Robert Evans,null,Mario Puzo,Francis Ford Coppola,Mario Puzo,null,Paramount Pictures,Cinéma International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC)
1795369,Benedict Cumberbatch,Jonny Lee Miller,Ella Smith,John Killoran,null,null,null,null,null,null,null,null,Danny Boyle,null,null,null,null,null,null,null,null,null,null,null,English,null,null,null,9.1,null,null,null,null,Nick Dear,Mary Shelley,null,null,National Theatre Live,Culture-Ville,null,null
0071562,Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,Gordon Willis,null,null,null,Sandy Berke Jordan,Nancy McArdle,George Newman,Marie Osborne,Francis Ford Coppola,null,null,null,Barry Malkin,Richard Marks,Peter Zinner,null,Crime,Drama,null,null,English,Italian,Spanish,Latin,9.0,Francis Ford Coppola,Gray Frederickson,Fred Roos,Mona Skager,Francis Ford Coppola,Mario Puzo,Mario Puzo,null,Paramount Pictures,Cinéma International Corporation (CIC),Cinema International Corporation (CIC),Cinema International Corporation (CIC)
